id,metodo,caminho,rota,statusCode,duracaoMs,iniciadoEm,finalizadoEm,ip,userAgent,createdAt
cmpjx8zl300b6w2rwdeqa0p1m,GET,/api/v1/aeronaves,/api/v1/aeronaves/,200,31.42,"2026-05-24 15:17:52.517","2026-05-24 15:17:52.548",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.551"
cmpjx8zlb00b7w2rw222yci5x,GET,/api/v1/etapas,/api/v1/etapas/,200,6.77,"2026-05-24 15:17:52.550","2026-05-24 15:17:52.557",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.559"
cmpjx8zlh00b8w2rwc2hjw2ah,GET,/api/v1/funcionarios,/api/v1/funcionarios/,200,4.16,"2026-05-24 15:17:52.558","2026-05-24 15:17:52.562",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.565"
cmpjx8zlo00b9w2rwrnnbt027,GET,/api/v1/pecas,/api/v1/pecas/,200,5.67,"2026-05-24 15:17:52.564","2026-05-24 15:17:52.570",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.572"
cmpjx8zlz00baw2rw7w7300wq,GET,/api/v1/relatorios,/api/v1/relatorios/,200,6.34,"2026-05-24 15:17:52.574","2026-05-24 15:17:52.580",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.583"
cmpjx8zm600bbw2rwz9z7cgat,GET,/api/v1/testes,/api/v1/testes/,200,5.34,"2026-05-24 15:17:52.582","2026-05-24 15:17:52.588",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.590"
cmpjx8zmm00bcw2rwkx9qjgmr,POST,/api/v1/pecas,/api/v1/pecas/,201,14,"2026-05-24 15:17:52.590","2026-05-24 15:17:52.604",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.606"
cmpjx8zmz00bdw2rwuuxdgq97,PATCH,/api/v1/pecas/21,/api/v1/pecas/:id,200,11.13,"2026-05-24 15:17:52.606","2026-05-24 15:17:52.617",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.620"
cmpjx8zn400bew2rw7nwobzqb,GET,/api/v1/pecas/21,/api/v1/pecas/:id,200,3.39,"2026-05-24 15:17:52.619","2026-05-24 15:17:52.622",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.624"
cmpjx8znd00bfw2rw33km2qiu,DELETE,/api/v1/pecas/21,/api/v1/pecas/:id,204,5.55,"2026-05-24 15:17:52.624","2026-05-24 15:17:52.629",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:17:52.633"
